# Generated using https://github.com/tstellanova/wmm2015_explorer/
#
# min alt: 1.000000 lat: -90.000000 lon: -180.000000 year: 2019.100000
# max alt: 100.000000 lat: 90.000000 lon: 180.000000 year: 2019.100000 
# step alt: 500.000000 lat: 5.000000 lon: 2.500000 year: 1.000000 
# ===============
# lat_deg, lon_deg, mag_x, mag_y, mag_z 
-80.00,-17.50,	 18963.217, -3035.326,-42008.907 
-80.00,-15.00,	 18841.904, -3678.050,-41993.944 
-80.00,-12.50,	 18697.789, -4319.964,-41994.763 
-80.00,-10.00,	 18530.554, -4960.406,-42011.621 
-80.00, -7.50,	 18339.864, -5598.648,-42044.780 
-80.00, -5.00,	 18125.376, -6233.889,-42094.490 
-80.00, -2.50,	 17886.734, -6865.247,-42160.974 
-80.00,  0.00,	 17623.603, -7491.759,-42244.457 
-80.00,  2.50,	 17335.648, -8112.372,-42345.107 
-80.00,  5.00,	 17022.566, -8725.943,-42463.068 
-80.00,  7.50,	 16684.116, -9331.251,-42598.477 
-80.00, 10.00,	 16320.094, -9926.982,-42751.408 
-80.00, 12.50,	 15930.366,-10511.746,-42921.901 
-80.00, 15.00,	 15514.874,-11084.075,-43109.944 
-80.00, 17.50,	 15073.641,-11642.427,-43315.465 
-80.00, 20.00,	 14606.799,-12185.209,-43538.361 
-80.00, 22.50,	 14114.581,-12710.772,-43778.456 
-80.00, 25.00,	 13597.327,-13217.423,-44035.510 
-80.00, 27.50,	 13055.510,-13703.447,-44309.235 
-80.00, 30.00,	 12489.725,-14167.111,-44599.278 
-80.00, 32.50,	 11900.700,-14606.680,-44905.223 
-80.00, 35.00,	 11289.280,-15020.416,-45226.558 
-80.00, 37.50,	 10656.449,-15406.602,-45562.706 
-80.00, 40.00,	 10003.338,-15763.572,-45913.052 
-80.00, 42.50,	  9331.210,-16089.715,-46276.917 
-80.00, 45.00,	  8641.466,-16383.491,-46653.576 
-80.00, 47.50,	  7935.613,-16643.420,-47042.196 
-80.00, 50.00,	  7215.288,-16868.118,-47441.899 
-80.00, 52.50,	  6482.245,-17056.316,-47851.769 
-80.00, 55.00,	  5738.331,-17206.828,-48270.776 
-80.00, 57.50,	  4985.518,-17318.665,-48697.964 
-80.00, 60.00,	  4225.852,-17390.953,-49132.291 
-80.00, 62.50,	  3461.434,-17422.900,-49572.564 
-80.00, 65.00,	  2694.454,-17413.941,-50017.683 
